Test Case ID,Module,Requirement,Reclassification,Reason,Latest Evidence
TC-BANK-015,Payroll,REQ-BANK-011,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-BANK-016,Payroll,REQ-BANK-003,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-BEN-010,Benefits,REQ-CAT-005,STILL BLOCKED,Infrastructure — shared-sandbox / multi-run isolation limitation,effective-window gating not verifiable via off-cycle run (off-cycle applies all assigned items by design); needs a Regular run whose period 
TC-BEN-011,Benefits,REQ-CAT-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — Missing API Contract: cannot create an inactive benefit via API (status=inactive rejected); inactive-item-skipped path not constru
TC-BEN-012,Benefits,REQ-CAT-007,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — Missing API Contract: benefit alert-threshold (benefit_threshold_breach) not configurable — benefits expose no alert_thresholds fi
TC-BEN-013,Benefits,REQ-CAT-012,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),"BLOCKED — Infrastructure: department-scope (dept A vs B) not testable — tenant has a single department (""Quality Assurance"") and POST /depar"
TC-BEN-014,Benefits,REQ-CAT-013,STILL BLOCKED,Infrastructure — shared-sandbox / multi-run isolation limitation,per-employee window gating not verifiable via off-cycle run (applies all assigned items by design); needs regular-run harness
TC-BEN-015,Benefits,REQ-CAT-014,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-BIK-003,Benefits,REQ-BIK-002,STILL BLOCKED,Reason not auto-classified — see latest evidence (manual review),BIK create not accepted: BK3
TC-BIK-007,Benefits,REQ-BIK-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),"BIK base ""Qualifying Employment Income"" not selectable: applies_to_base enum exposes only cash_emoluments_excluding_bik — base-type API cont"
TC-BIK-013,Benefits,REQ-BIK-007,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)",BLOCKED — Infrastructure: country-scoped BIK match needs an employee whose statutory country differs from the scope; this is a single-countr
TC-BIK-014,Benefits,REQ-BIK-007,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),"BLOCKED — Missing API Contract: benefit auto-enroll/all-employees resolution not applied without an explicit assignment, and no /benefits/{i"
TC-CAL-001,Payroll,REQ-CAL-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract: daily/hourly compensation not settable via /salary (see reports/07)
TC-CAL-008,Payroll,REQ-CAL-005,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),percentage_of_net deduction not accepted — %-of-net contract not exposed
TC-CAL-009,Payroll,REQ-CAL-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-CAL-010,Payroll,REQ-CAL-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-CAL-012,Payroll,REQ-CAL-008,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),probe inconclusive — operation contract not demonstrable for this case; treated as external (see discovery sweep)
TC-CAL-014,Payroll,REQ-CAL-010,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-CAL-015,Payroll,REQ-CAL-011,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-CAL-022,Payroll,REQ-CAL-015,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-CAL-024,Payroll,REQ-CAL-007/012,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-COMP-008,Compliance,REQ-COMP-007,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-COMP-009,Compliance,REQ-COMP-007,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-COMP-010,Compliance,REQ-COMP-007,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-CYCLE-003,Payroll,REQ-CYCLE-002,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-012,Payroll,REQ-CYCLE-010,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-013,Payroll,REQ-CYCLE-010,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-015,Payroll,REQ-CYCLE-012,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-016,Payroll,REQ-CYCLE-013,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-017,Payroll,REQ-CYCLE-011,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-018,Payroll,REQ-CYCLE-014,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-019,Payroll,REQ-CYCLE-015,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-CYCLE-020,Payroll,REQ-CYCLE-014,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-DASH-003,Dashboard,REQ-DASH-001,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Credentials: permission-appropriate dashboard widgets are role-gated; verifying requires a non-admin (Manager/Staff) session.
TC-DASH-004,Dashboard,REQ-DASH-001,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-DASH-005,Dashboard,REQ-DASH-001,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-DED-004,Deductions,REQ-CAT-009,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),"deduction percentage_of_cash_emoluments not accepted: {""calculation_method"":[""calculation_method 'percentage_of_cash_emolume — calc-method A"
TC-DED-005,Deductions,REQ-CAT-009,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-DED-011,Deductions,REQ-CAT-013,STILL BLOCKED,Infrastructure — shared-sandbox / multi-run isolation limitation,deduction window gating not verifiable via off-cycle run (applies all assigned items by design); needs regular-run harness
TC-DED-012,Deductions,REQ-CAT-015,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-DED-013,Deductions,REQ-CAT-009,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),deduction percentage_of_net not accepted — %-of-net calc-method API contract not exposed
TC-EMP-003,Employees,REQ-EMP-001,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-EMP-004,Employees,REQ-EMP-002,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-005,Employees,REQ-EMP-002,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-006,Employees,REQ-EMP-002,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-012,Employees,REQ-EMP-007,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract: daily/hourly compensation not settable via /salary (see reports/07)
TC-EMP-015,Employees,REQ-EMP-011,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-016,Employees,REQ-EMP-008,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-020,Employees,REQ-EMP-012,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-021,Employees,REQ-EMP-013,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-023,Employees,REQ-EMP-014,STILL BLOCKED,Infrastructure — shared-sandbox / multi-run isolation limitation,"BLOCKED — Browser-only / Infrastructure: the mid-cycle ""Warning shown"" is a client-side Save-time validation (catalogue Auto=UI). It cannot "
TC-EMP-024,Employees,REQ-EMP-014,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-EMP-025,Employees,REQ-EMP-016,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-026,Employees,REQ-EMP-016,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-EMP-027,Employees,REQ-EMP-017,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-EMP-028,Employees,REQ-EMP-017,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-EMP-030,Employees,REQ-EMP-019,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-ENT-004,Enterprise Onboarding,REQ-SETUP-001,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)",[browser] FAIL/BLOCKED — launcher renders 'No modules found' for the Payroll Admin account on William & Co; NO Payroll module tile → cannot 
TC-ENT-005,Enterprise Onboarding,REQ-SETUP-001,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)",[browser] BLOCKED — no Payroll module tile to launch (see TC-ENT-004); never reaches payroll.kedebah.com for these accounts.
TC-ENT-MOD-admin,Enterprise Onboarding,REQ-SETUP-001,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)",[browser] CONFIRMED EMPTY — 'No modules found' for Admin too.
TC-ENT-MOD-employee,Enterprise Onboarding,REQ-SETUP-001,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)",[browser] CONFIRMED EMPTY — launcher shows 'No modules found'; Employee has NO modules → cannot enter Payroll. Confirms BR-020 is systemic (
TC-ENT-MOD-manager,Enterprise Onboarding,REQ-SETUP-001,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)","[browser] CONFIRMED EMPTY — 'No modules found' for Manager too. All 4 roles now confirm BUG-011 (systemic, no module access)."
TC-ENT-MOD-reports,Enterprise Onboarding,REQ-SETUP-001,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)",[browser] CONFIRMED EMPTY — 'No modules found' for Reports too (logged in via reset).
TC-ENT-PW-reports,Enterprise Onboarding,REQ-AUTH-001,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),[browser] BLOCKED — BOTH temp IrLyR66kvk AND QaPhase4_reports_9X! rejected ('Invalid password'). Unknown password state; needs owner reset/c
TC-FORM-003,Payroll,REQ-FORM-002,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-FORM-004,Payroll,REQ-FORM-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-FORM-006,Payroll,REQ-FORM-004,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-FORM-007,Payroll,REQ-FORM-005,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-FORM-008,Payroll,REQ-FORM-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-FORM-009,Payroll,REQ-FORM-007,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-FORM-011,Payroll,REQ-FORM-009,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — report export rendered client-side
TC-LIFE-004,Payroll,REQ-LIFE-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-LIFE-005,Payroll,REQ-LIFE-002,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-LIFE-010,Payroll,REQ-LIFE-004,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-LIFE-011,Payroll,REQ-LIFE-004,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-LIFE-012,Payroll,REQ-LIFE-004,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-LIFE-013,Payroll,REQ-LIFE-005,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-LIFE-014,Payroll,REQ-LIFE-005,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-LIFE-015,Payroll,REQ-LIFE-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-LOAN-003,Loans,REQ-LOAN-001,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-LOAN-008,Loans,REQ-LOAN-003,STILL BLOCKED,Infrastructure — shared-sandbox / multi-run isolation limitation,BLOCKED — Infrastructure: repayment-clamp manifests only on a Regular paid run with a loan whose balance < per-period; isolating one require
TC-LOAN-013,Loans,REQ-LOAN-004,STILL BLOCKED,Infrastructure — shared-sandbox / multi-run isolation limitation,BLOCKED — Infrastructure: no fully-repaid loan in sandbox; verifying auto-stop requires driving a loan balance to 0 across multiple calendar
TC-LOAN-015,Loans,REQ-LOAN-009,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-PAYE-016,Payroll,REQ-PAYE-010,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-PAYM-003,Payroll,REQ-PAYM-002,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: catalog approval-activation trigger (see reports/07)
TC-PAYM-007,Payroll,REQ-PAYM-005,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — Browser-only: Mobile-Money rows in the bank/payment file are produced by a client-side export render; no payment-file API route (p
TC-PAYM-008,Payroll,REQ-PAYM-006,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — Browser-only: cash-exclusion from the bank file is verified in the client-side file export; no payment-file API route. (Cash exclu
TC-PAYM-013,Payroll,REQ-PAYM-014,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — report export rendered client-side
TC-PAYM-016,Payroll,REQ-PAYM-012,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
TC-PAYM-018,Payroll,REQ-PAYM-015,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-PG-002,Pay Groups,REQ-PG-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — Missing API Contract: pay-group membership-edit not exposed (assignment is a silent no-op — see TC-PG-001 evidence: PUT 200 but em
TC-PG-004,Pay Groups,REQ-PG-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: pay-group member assignment (see reports/07)
TC-PG-005,Pay Groups,REQ-PG-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — Missing API Contract: group cannot pre-populate a run because membership is not assignable via API (see TC-PG-001); run accepted p
TC-PG-007,Pay Groups,REQ-PG-002,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-PG-008,Pay Groups,REQ-PG-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: pay-group member assignment (see reports/07)
TC-PG-009,Pay Groups,REQ-PG-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: pay-group member assignment (see reports/07)
TC-PG-010,Pay Groups,REQ-PG-004,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: pay-group member assignment (see reports/07)
TC-PG-011,Pay Groups,REQ-PG-005,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: pay-group member assignment (see reports/07)
TC-PG-012,Pay Groups,REQ-PG-005,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: pay-group member assignment (see reports/07)
TC-PROT-001,Deductions,REQ-PROT-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-002,Deductions,REQ-PROT-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-003,Deductions,REQ-PROT-001,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-004,Deductions,REQ-PROT-002,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-005,Deductions,REQ-PROT-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-006,Deductions,REQ-PROT-004,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-008,Deductions,REQ-PROT-006,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-009,Deductions,REQ-PROT-007,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-010,Deductions,REQ-PROT-008,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-011,Deductions,REQ-PROT-009,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-PROT-012,Deductions,REQ-PROT-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — API contract not exposed: protected-pay-rules (see reports/07-requests-to-unblock.md)
TC-RBAC-admin-login,Users & Roles,REQ-AUTH-001,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,[browser] credentials VALID (login accepted → forced 'Change Password' screen) but session NOT established — after the forced password chang
TC-RBAC-employee-login,Users & Roles,REQ-AUTH-001,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,[browser] credentials VALID (login accepted → forced 'Change Password' screen) but session NOT established — after the forced password chang
TC-RBAC-manager-login,Users & Roles,REQ-AUTH-001,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,[browser] credentials VALID (login accepted → forced 'Change Password' screen) but session NOT established — after the forced password chang
